fighter,weight_class
Marion Reneau,Women's Bantamweight
Grant Dawson,Featherweight
Louis Smolka,Bantamweight
Alex Morono,Welterweight
Alex White,Lightweight
Tyron Woodley,Welterweight
Robbie Lawler,Welterweight
Tecia Torres,Women's Strawweight
Cody Garbrandt,Bantamweight
Jeremy Stephens,Featherweight
Misha Cirkunov,Light Heavyweight
Cody Stamann,Bantamweight
Gina Mazany,Women's Bantamweight
Polyana Viana,Women's Strawweight
Stefan Struve,Heavyweight
Gian Villante,Light Heavyweight
Liz Carmouche,Women's Flyweight
John Dodson,Bantamweight
Magomed Ankalaev,Light Heavyweight
Dwight Grant,Welterweight
Veronica Macedo,Women's Flyweight
Michel Prazeres,Welterweight
Rustam Khabilov,Lightweight
Damir Ismagulov,Lightweight
Cortney Casey,Women's Strawweight
Ashlee Evans-Smith,Women's Flyweight
Scott Holtzman,Lightweight
Renan Barao,Bantamweight
Alexandra Albu,Women's Strawweight
Israel Adesanya,Middleweight
Lando Vannata,Lightweight
Rani Yahya,Bantamweight
Montana De La Rosa,Women's Flyweight
Jimmy Crute,Light Heavyweight
Devonte Smith,Lightweight
Shane Young,Featherweight
Kai Kara-France,Flyweight
Teruto Ishihara,Bantamweight
Callan Potter,Lightweight
Wuliji Buren,Bantamweight
Raphael Assuncao,Bantamweight
Johnny Walker,Light Heavyweight
Markus Perez,Middleweight
Mara Romero Borella,Women's Flyweight
Junior Albini,Heavyweight
Geraldo de Freitas,Featherweight
Magomed Bibulatov,Flyweight
Henry Cejudo,Flyweight
Gregor Gillespie,Lightweight
Joseph Benavidez,Flyweight
Paige VanZant,Women's Flyweight
Joanne Calderwood,Women's Flyweight
Cory Sandhagen,Bantamweight
Dennis Bermudez,Lightweight
Belal Muhammad,Welterweight
Kyle Stewart,Welterweight
Carlos Condit,Welterweight
Ilir Latifi,Light Heavyweight
Chad Mendes,Featherweight
Cat Zingano,Women's Featherweight
Douglas Silva de Andrade,Bantamweight
Uriah Hall,Middleweight
Brian Kelleher,Bantamweight
Kevin Lee,Lightweight
Rob Font,Bantamweight
Zak Ottow,Welterweight
Bobby Green,Lightweight
Gerald Meerschaert,Middleweight
Trevor Smith,Middleweight
Adam Milstead,Light Heavyweight
Chris de la Rocha,Heavyweight
Elias Theodorou,Middleweight
Chad Laprise,Welterweight
Diego Ferreira,Lightweight
Devin Clark,Light Heavyweight
Junior Dos Santos,Heavyweight
Mauricio Rua,Light Heavyweight
Mark Hunt,Heavyweight
Jake Matthews,Welterweight
Suman Mokhtarian,Featherweight
Yushin Okami,Welterweight
Keita Nakamura,Welterweight
Elias Garcia,Flyweight
Mizuto Hirota,Lightweight
Alex Gorgees,Lightweight
Juan Espino,Heavyweight
Pannie Kianzad,Women's Featherweight
Pedro Munhoz,Bantamweight
Darren Stewart,Middleweight
Ji Yeon Kim,Women's Flyweight
Rick Glenn,Featherweight
Julija Stoliarenko,Women's Featherweight
Song Yadong,Bantamweight
Li Jingliang,Welterweight
Song Kenan,Welterweight
Wu Yanan,Women's Flyweight
Hu Yaozong,Light Heavyweight
Weili Zhang,Women's Strawweight
Su Mudaerji,Bantamweight
Neil Magny,Welterweight
Khalil Rountree Jr.,Light Heavyweight
Cezar Ferreira,Middleweight
Guido Cannetti,Bantamweight
Cynthia Calvillo,Women's Strawweight
Humberto Bandenay,Featherweight
Laureano Staropoli,Welterweight
Devin Powell,Lightweight
Nad Narimani,Featherweight
Chan Sung Jung,Featherweight
Donald Cerrone,Welterweight
Maycee Barber,Women's Strawweight
Michael Trizano,Lightweight
Chas Skelly,Featherweight
Joseph Morales,Flyweight
Mark De La Rosa,Bantamweight
Daniel Cormier,Heavyweight
Chris Weidman,Middleweight
Jason Knight,Featherweight
Sijara Eubanks,Women's Flyweight
Lyman Good,Welterweight
Matt Frevola,Lightweight
Shane Burgos,Featherweight
Adam Wieczorek,Heavyweight
Michael Johnson,Featherweight
Andre Soukhamthath,Bantamweight
Alex Garcia,Welterweight
Thibault Gouti,Lightweight
Calvin Kattar,Featherweight
Sarah Moras,Women's Bantamweight
Te Edwards,Lightweight
Khabib Nurmagomedov,Lightweight
Michelle Waterson,Women's Strawweight
Sergio Pettis,Flyweight
Lina Lansberg,Women's Bantamweight
Gray Maynard,Lightweight
Ryan LaFlare,Welterweight
Thiago Santos,Light Heavyweight
Francisco Trinaldo,Lightweight
Luis Henrique,Light Heavyweight
Augusto Sakai,Heavyweight
Sergio Moraes,Welterweight
Mayra Bueno Silva,Women's Flyweight
Thales Leites,Middleweight
Aleksei Kunchenko,Welterweight
Khalid Murtazaliev,Middleweight
Petr Yan,Bantamweight
Mairbek Taisumov,Lightweight
Adam Yandiev,Middleweight
Ramazan Emeev,Welterweight
Merab Dvalishvili,Bantamweight
Jessica Andrade,Women's Strawweight
Zabit Magomedsharipov,Featherweight
Abdul Razak Alhassan,Welterweight
Charles Byrd,Middleweight
Roberto Sanchez,Flyweight
Justin Gaethje,Lightweight
Jake Ellenberger,Welterweight
John Moraga,Flyweight
Eryk Anders,Middleweight
James Krause,Welterweight
Andrew Sanchez,Middleweight
Mickey Gall,Welterweight
TJ Dillashaw,Bantamweight
Demetrious Johnson,Flyweight
Thiago Santos,Middleweight
Ricky Simon,Bantamweight
Matt Sayles,Featherweight
Alex Perez,Flyweight
Danielle Taylor,Women's Strawweight
Eddie Alvarez,Lightweight
Joanna Jedrzejczyk,Women's Strawweight
Jordan Mein,Welterweight
Kajan Johnson,Lightweight
Dustin Ortiz,Flyweight
Vitor Miranda,Middleweight
Nasrat Haqparast,Lightweight
Emil Meek,Welterweight
Khalid Taha,Featherweight
Justin Ledet,Light Heavyweight
Davey Grant,Bantamweight
Jeremy Kimball,Light Heavyweight
Damian Stasiak,Bantamweight
Sage Northcutt,Welterweight
Dennis Bermudez,Featherweight
Randy Brown,Welterweight
Myles Jury,Featherweight
Cat Zingano,Women's Bantamweight
Justin Scoggins,Flyweight
Kurt Holobaugh,Featherweight
Mark De La Rosa,Flyweight
Jessica Aguilar,Women's Strawweight
Stipe Miocic,Heavyweight
Paul Felder,Welterweight
Michael Chiesa,Lightweight
Gokhan Saki,Light Heavyweight
Dan Hooker,Lightweight
Jamie Moyle,Women's Strawweight
Brad Tavares,Middleweight
Jay Cucciniello,Featherweight
Alessio Di Chirico,Middleweight
Luis Pena,Lightweight
John Gunther,Lightweight
Tyler Diamond,Featherweight
Matt Bessette,Featherweight
Jessica-Rose Clark,Women's Flyweight
Felipe Arantes,Bantamweight
Rolando Dy,Featherweight
Shinsho Anzai,Welterweight
Viviane Pereira,Women's Strawweight
Matt Schnell,Flyweight
Jenel Lausa,Flyweight
Robert Whittaker,Middleweight
Holly Holm,Women's Featherweight
CM Punk,Welterweight
Rashad Coulter,Heavyweight
Rashad Evans,Light Heavyweight
Clay Guida,Lightweight
Mike Santiago,Featherweight
Nik Lentz,Lightweight
Johnny Eduardo,Bantamweight
Jarred Brooks,Flyweight
Claudio Silva,Welterweight
Eric Spicely,Middleweight
Daniel Kelly,Middleweight
Bradley Scott,Welterweight
Alexa Grasso,Women's Strawweight
Jared Cannonier,Light Heavyweight
Diego Rivas,Bantamweight
Zak Cummings,Welterweight
Brandon Moreno,Flyweight
Poliana Botelho,Women's Strawweight
Gabriel Benitez,Featherweight
Henry Briones,Bantamweight
Claudio Puelles,Lightweight
Mackenzie Dern,Women's Strawweight
Vitor Belfort,Middleweight
Alberto Mina,Welterweight
Frankie Edgar,Featherweight
Justin Willis,Heavyweight
Siyar Bahadurzada,Welterweight
Corey Anderson,Light Heavyweight
Dustin Poirier,Lightweight
Muslim Salikhov,Welterweight
Shana Dobson,Women's Flyweight
Dhiego Lima,Welterweight
Matthew Lopez,Bantamweight
Luke Sanders,Bantamweight
Joe Lauzon,Lightweight
Evan Dunham,Lightweight
Bec Rawlings,Women's Flyweight
Fabricio Werdum,Heavyweight
Tom Duquesnoy,Bantamweight
John Phillips,Middleweight
Paul Craig,Light Heavyweight
Mark Godbeer,Heavyweight
Sean O'Malley,Bantamweight
CB Dollaway,Middleweight
Mike Pyle,Welterweight
Bryan Caraway,Bantamweight
Jordan Johnson,Light Heavyweight
Mike Perry,Welterweight
Sara McMann,Women's Bantamweight
Maryna Moroz,Women's Strawweight
Albert Morales,Bantamweight
Steven Peterson,Featherweight
Sage Northcutt,Lightweight
Joshua Burkman,Welterweight
Oskar Piechota,Middleweight
Yoel Romero,Middleweight
Tyson Pedro,Light Heavyweight
Damien Brown,Lightweight
Rob Wilkinson,Middleweight
Alexander Volkanovski,Featherweight
Luke Jumeau,Welterweight
Lyoto Machida,Middleweight
Michel Prazeres,Lightweight
Tim Johnson,Heavyweight
Alan Patrick,Lightweight
Maia Stevenson,Women's Strawweight
Iuri Alcantara,Bantamweight
Deiveson Figueiredo,Flyweight
Jordan Rinaldi,Lightweight
Drew Dober,Welterweight
Erik Koch,Lightweight
Mirsad Bektic,Featherweight
Justine Kish,Women's Flyweight
Vinc Pichel,Lightweight
Niko Price,Welterweight
Austin Arnett,Featherweight
Daniel Cormier,Light Heavyweight
Thomas Almeida,Bantamweight
Kyle Bochniak,Featherweight
Sabah Homasi,Welterweight
Kamaru Usman,Welterweight
James Krause,Lightweight
Kyung Ho Kang,Bantamweight
Kalindra Faria,Women's Flyweight
Mads Burnell,Featherweight
Louis Smolka,Flyweight
Tim Elliott,Bantamweight
Santiago Ponzinibbio,Welterweight
Julian Marquez,Middleweight
Marlon Moraes,Bantamweight
Carls John De Tomas,Bantamweight
Frankie Saenz,Bantamweight
Chris Gruetzemacher,Lightweight
Antonio Braga Neto,Middleweight
David Teymur,Lightweight
Felice Herrig,Women's Strawweight
Amanda Cooper,Women's Strawweight
Nicco Montano,Women's Flyweight
Barb Honchak,Women's Flyweight
DeAnna Bennett,Women's Flyweight
Joe Soto,Bantamweight
Christina Marks,Women's Flyweight
Karine Gevorgyan,Women's Flyweight
Ariel Beck,Women's Flyweight
Michael Bisping,Middleweight
Wang Guan,Featherweight
Kailin Curran,Women's Strawweight
Song Yadong,Featherweight
Chase Sherman,Heavyweight
Wu Yanan,Women's Bantamweight
Wuliji Buren,Featherweight
Cyril Asker,Heavyweight
Alexander Volkanovski,Catch Weight
Ryan Benoit,Flyweight
Alex Chambers,Women's Strawweight
Anthony Hamilton,Heavyweight
Matt Brown,Welterweight
Nate Marquardt,Middleweight
Jake Collier,Light Heavyweight
Johny Hendricks,Middleweight
Hacran Dias,Lightweight
Marcelo Golm,Heavyweight
Marcin Held,Lightweight
Sam Alvey,Middleweight
Artem Lobov,Featherweight
Salim Touahri,Welterweight
Felipe Arantes,Featherweight
Pearl Gonzalez,Women's Strawweight
Takanori Gomi,Lightweight
Teruto Ishihara,Featherweight
Syuri Kondo,Women's Strawweight
Daichi Abe,Welterweight
Luke Rockhold,Middleweight
Hector Lombard,Middleweight
Justin Ledet,Heavyweight
Anthony Rocco Martin,Lightweight
Jason Saggo,Lightweight
Mitch Clarke,Lightweight
Luis Henrique,Heavyweight
Alexander Volkov,Heavyweight
Siyar Bahadurzada,Middleweight
Francimar Barroso,Light Heavyweight
Bojan Mihajlovic,Light Heavyweight
Martin Bravo,Featherweight
Bradley Scott,Middleweight
Jose Quinonez,Bantamweight
Alvaro Herrera,Lightweight
Aljamain Sterling,Catch Weight
Brian Ortega,Featherweight
Joshua Burkman,Lightweight
Rafael Natal,Middleweight
Damian Grabowski,Heavyweight
Frankie Perez,Lightweight
Gunnar Nelson,Welterweight
Joanne Calderwood,Women's Strawweight
James Mulheron,Heavyweight
Charlie Ward,Welterweight
Danny Henry,Lightweight
Brett Johns,Bantamweight
Leslie Smith,Women's Bantamweight
Daniel Omielanczuk,Heavyweight
Anthony Pettis,Lightweight
Travis Browne,Heavyweight
Cody Stamann,Featherweight
Trevin Giles,Light Heavyweight
Michael Johnson,Lightweight
Ed Herman,Light Heavyweight
Gray Maynard,Featherweight
BJ Penn,Featherweight
Jared Gordon,Featherweight
Josh Stansbury,Light Heavyweight
Holly Holm,Women's Bantamweight
Dong Hyun Kim,Welterweight
Tarec Saffiedine,Welterweight
Kwan Ho Kwak,Bantamweight
Naoki Inoue,Flyweight
Ji Yeon Kim,Women's Bantamweight
Ion Cutelaba,Light Heavyweight
Tim Elliott,Flyweight
Kiichi Kunimoto,Welterweight
JJ Aldrich,Women's Strawweight
Paulo Costa,Middleweight
Erick Silva,Welterweight
Luan Chagas,Welterweight
Peter Sobotta,Welterweight
Oliver Enkamp,Welterweight
Jack Hermansson,Middleweight
Reza Madadi,Lightweight
Nico Musoke,Welterweight
Joachim Christensen,Light Heavyweight
Jessica Penne,Women's Strawweight
Alexis Davis,Women's Bantamweight
Hector Sandoval,Flyweight
Patrick Williams,Bantamweight
Anthony Smith,Middleweight
Ashlee Evans-Smith,Women's Bantamweight
Will Brooks,Lightweight
Josh Emmett,Lightweight
Katlyn Chookagian,Women's Bantamweight
Brad Pickett,Catch Weight
Joe Duffy,Lightweight
Darren Stewart,Light Heavyweight
Bethe Correia,Women's Bantamweight
Rony Jason,Featherweight
Garreth McLellan,Middleweight
Rashad Evans,Middleweight
Sam Sicilia,Featherweight
Paul Felder,Lightweight
Anderson Silva,Middleweight
Abel Trujillo,Lightweight
Adam Milstead,Heavyweight
Daniel Jolly,Light Heavyweight
