fighter,weight_class
Pawel Pawlak,Welterweight
Seth Baczynski,Welterweight
Bartosz Fabinski,Middleweight
Damian Stasiak,Featherweight
Izabela Badurek,Women's Strawweight
Marcin Bandel,Lightweight
Taylor Lapilus,Featherweight
Jorge Masvidal,Lightweight
Ron Stallings,Middleweight
Leandro Silva,Lightweight
Leonardo Mafra,Lightweight
Jorge de Oliveira,Lightweight
Bentley Syler,Flyweight
Jake Lindsey,Lightweight
Larissa Pacheco,Women's Bantamweight
Roman Salazar,Bantamweight
Masio Fullen,Featherweight
William Patolino,Welterweight
Ivan Jorge,Lightweight
James Moontasri,Lightweight
Ed Herman,Middleweight
Ian McCall,Flyweight
Richardson Moreira,Middleweight
Phil Davis,Light Heavyweight
Akira Corassani,Featherweight
Andy Ogle,Featherweight
Conor McGregor,Featherweight
John Howard,Welterweight
Johnny Case,Lightweight
Matt Van Buren,Light Heavyweight
Tateki Matsuda,Flyweight
Danny Castillo,Lightweight
Alexis Dufresne,Women's Bantamweight
Antonio Carlos Junior,Light Heavyweight
Elias Silverio,Lightweight
Tom Niinimaki,Featherweight
Leandro Issa,Bantamweight
Marcio Alexandre Junior,Welterweight
Joe Riggs,Welterweight
Jamie Varner,Lightweight
Joe Ellenberger,Lightweight
David Michaud,Lightweight
KJ Noons,Lightweight
Emily Peters Kagan,Women's Strawweight
Todd Duffee,Heavyweight
Sergio Pettis,Bantamweight
Alex White,Featherweight
Brad Pickett,Flyweight
Ruslan Magomedov,Heavyweight
Luke Barnatt,Middleweight
Yves Edwards,Lightweight
Juan Puig,Featherweight
Edgar Garcia,Welterweight
Diego Rivas,Featherweight
Caio Magalhaes,Middleweight
Wagner Silva,Welterweight
Soa Palelei,Heavyweight
Luke Zachrich,Middleweight
Jumabieke Tuerxun,Bantamweight
Scott Jorgensen,Flyweight
Fabricio Camoes,Lightweight
Tor Troeng,Middleweight
Dustin Poirier,Featherweight
Manvel Gamburyan,Bantamweight
Myles Jury,Lightweight
Alex Caceres,Bantamweight
Michinori Tanaka,Bantamweight
Kazuki Tokudome,Lightweight
Paulo Thiago,Welterweight
Matt Mitrione,Heavyweight
Sean Soriano,Featherweight
Yancy Medeiros,Lightweight
Lorenz Larkin,Middleweight
Ruan Potts,Heavyweight
Benson Henderson,Lightweight
Francis Carmont,Middleweight
Max Holloway,Catch Weight
Aaron Phillips,Bantamweight
Ning Guangyou,Featherweight
Sai Wang,Welterweight
Roland Delorme,Bantamweight
An Ying Wang,Welterweight
Yao Zhikui,Bantamweight
Elizabeth Phillips,Women's Bantamweight
Tom Watson,Middleweight
Nolan Ticman,Bantamweight
Kyle Kingsbury,Light Heavyweight
Hernani Perpetuo,Welterweight
Mike de la Torre,Featherweight
Akbarh Arreola,Lightweight
Andreas Stahl,Welterweight
Steven Siler,Featherweight
Cathal Pendred,Middleweight
Cody Donovan,Light Heavyweight
Justin Salas,Lightweight
John Lineker,Flyweight
Dhiego Lima,Middleweight
Jesse Ronson,Lightweight
Patrick Walsh,Light Heavyweight
Sarah Moras,Catch Weight
Robert Drysdale,Light Heavyweight
George Roop,Bantamweight
Kelvin Gastelum,Welterweight
Clint Hester,Middleweight
Colton Smith,Lightweight
Johnny Bedford,Bantamweight
Marcelo Guimaraes,Middleweight
James Te Huna,Middleweight
Robert Whittaker,Welterweight
Chris Indich,Welterweight
Daniel Sarafian,Welterweight
Valerie Letourneau,Women's Bantamweight
Yaotzin Meza,Bantamweight
Bobby Voelker,Welterweight
Vitor Miranda,Heavyweight
Marcio Alexandre Junior,Middleweight
Rodrigo Damm,Lightweight
Marcos Rogerio de Lima,Heavyweight
Vaughan Lee,Bantamweight
Chris Holdsworth,Bantamweight
Anthony Njokuani,Lightweight
David Michaud,Welterweight
Costas Philippou,Middleweight
Yan Cabral,Welterweight
Manvel Gamburyan,Featherweight
Anthony Lapsley,Welterweight
Estevan Payan,Featherweight
Sheldon Westcott,Middleweight
Sam Stout,Welterweight
Ryan Jimmo,Light Heavyweight
Mark Bocek,Lightweight
Nordine Taleb,Middleweight
Minotauro Nogueira,Heavyweight
Ronny Markes,Middleweight
Thiago Perpetuo,Welterweight
Jake Shields,Welterweight
Sean Spencer,Welterweight
Renee Forte,Lightweight
Will Campuzano,Flyweight
Bubba McDaniel,Middleweight
Daniel Pineda,Featherweight
Cyrille Diabate,Light Heavyweight
Phil Harris,Flyweight
Nam Phan,Bantamweight
Albert Cheng,Welterweight
Jumabieke Tuerxun,Featherweight
Cody Gibson,Bantamweight
Rafaello Oliveira,Lightweight
Ernest Chavez,Lightweight
Cristiano Marcello,Lightweight
Ildemar Alcantara,Welterweight
Douglas Silva de Andrade,Featherweight
Nick Catone,Middleweight
Chico Camus,Bantamweight
Junior Hernandez,Bantamweight
Isaac Vallie-Flagg,Lightweight
Charlie Brenneman,Lightweight
Katsunori Kikuno,Lightweight
Royston Wee,Bantamweight
Dustin Kimura,Bantamweight
Chris Leben,Middleweight
Robert Peralta,Featherweight
Darren Uyenoyama,Flyweight
Pat Barry,Heavyweight
Julie Kedzie,Women's Bantamweight
Nick Ring,Middleweight
Bruno Santos,Middleweight
Ben Wall,Welterweight
Roxanne Modafferi,Women's Bantamweight
Rani Yahya,Featherweight
Joshua Sampo,Flyweight
Georges St-Pierre,Welterweight
Josh Koscheck,Welterweight
Jason High,Welterweight
Will Campuzano,Bantamweight
Vitor Belfort,Light Heavyweight
Thiago Perpetuo,Middleweight
Thiago Tavares,Lightweight
Jose Maria,Flyweight
Alessio Sakara,Middleweight
Rosi Sexton,Women's Bantamweight
Jimy Hettes,Featherweight
Nate Marquardt,Welterweight
George Sotiropoulos,Lightweight
TJ Waldburger,Welterweight
Jeremy Larsen,Featherweight
Dustin Pague,Bantamweight
Thiago Silva,Light Heavyweight
Rousimar Palhares,Welterweight
Iliarde Santos,Flyweight
Brendan Schaub,Heavyweight
Pat Healy,Lightweight
Mike Ricci,Lightweight
Ivan Menjivar,Bantamweight
Chris Clements,Welterweight
Nandor Guelmino,Heavyweight
Yushin Okami,Middleweight
Marcos Vinicius,Flyweight
Lucas Martins,Bantamweight
Joao Zeferino,Welterweight
Keith Wisniewski,Welterweight
Yuri Villefort,Welterweight
Erik Koch,Featherweight
Louis Gaudinot,Flyweight
Pascal Krauss,Welterweight
Ryan Couture,Lightweight
Jared Hamman,Middleweight
Justin Edwards,Welterweight
James Head,Welterweight
Roger Bowling,Lightweight
Mike Brown,Featherweight
Lyoto Machida,Light Heavyweight
Vinny Magalhaes,Light Heavyweight
Ednaldo Oliveira,Light Heavyweight
Mac Danzig,Lightweight
Aaron Riley,Lightweight
John Albert,Bantamweight
Mike Pierce,Welterweight
Sean Pierson,Welterweight
Rodrigo Damm,Featherweight
Colton Smith,Welterweight
Brian Bowles,Bantamweight
Lucas Martins,Lightweight
Leonard Garcia,Featherweight
Nate Diaz,Lightweight
Tim Means,Lightweight
Clifford Starks,Middleweight
Bristol Marunde,Middleweight
Justin Lawrence,Featherweight
Gegard Mousasi,Light Heavyweight
Chris Spang,Welterweight
Marcus Brimage,Featherweight
Benny Alloway,Welterweight
Michael Kuiper,Middleweight
Papy Abedi,Welterweight
Antonio Carvalho,Featherweight
Dan Miller,Welterweight
Wanderlei Silva,Light Heavyweight
Riki Fukuda,Middleweight
Marcelo Guimaraes,Welterweight
Jon Manley,Welterweight
Nah-Shon Burrell,Welterweight
Che Mills,Welterweight
Terry Etim,Lightweight
Paul Sass,Lightweight
Jon Fitch,Welterweight
Jacob Volkmann,Lightweight
Edwin Figueroa,Bantamweight
Rampage Jackson,Light Heavyweight
TJ Grant,Lightweight
Mike Stumpf,Welterweight
Mike Russow,Heavyweight
Simeon Thoresen,Welterweight
Diego Nunes,Featherweight
Wagner Prado,Light Heavyweight
Melvin Guillard,Lightweight
Philip De Fries,Heavyweight
Reuben Duran,Bantamweight
Mike Rio,Lightweight
Jared Papazian,Flyweight
Colin Fletcher,Lightweight
Brendan Loughnane,Lightweight
Nick Penner,Light Heavyweight
BJ Penn,Welterweight
Marcus LeVesseur,Lightweight
Mark Hominick,Featherweight
Patrick Cote,Middleweight
Matthew Riddle,Welterweight
Rich Franklin,Middleweight
Tiequan Zhang,Lightweight
Yasuhiro Urushitani,Flyweight
Anderson Silva,Light Heavyweight
Luiz Cane,Middleweight
Josh Neer,Welterweight
Aaron Simpson,Welterweight
Bart Palaszewski,Featherweight
Dan Hardy,Welterweight
John Hathaway,Welterweight
DaMarques Johnson,Catch Weight
Jason Young,Featherweight
Matt Hamill,Light Heavyweight
Jake Shields,Middleweight
Ken Stone,Bantamweight
Josh Grispi,Featherweight
Cheick Kongo,Heavyweight
Court McGee,Middleweight
Karlos Vemola,Middleweight
Damacio Page,Bantamweight
Forrest Griffin,Light Heavyweight
Cung Le,Middleweight
John Alessio,Lightweight
Wanderlei Silva,Catch Weight
Iuri Alcantara,Featherweight
Anistavio Medeiros,Featherweight
Delson Heleno,Middleweight
John Teixeira,Featherweight
Marcos Vinicius,Featherweight
Ross Pearson,Featherweight
Buddy Roberts,Middleweight
Henry Martinez,Lightweight
Jake Hecht,Welterweight
Jonathan Brookins,Featherweight
Justin Lawrence,Lightweight
Jason Miller,Middleweight
Amir Sadollah,Welterweight
Jason MacDonald,Middleweight
Cody McKenzie,Lightweight
Jeff Curran,Bantamweight
Alex Soto,Bantamweight
Rousimar Palhares,Middleweight
Mike Massenzio,Middleweight
Miguel Torres,Bantamweight
Brian Stann,Middleweight
DaMarques Johnson,Welterweight
Kyle Noke,Middleweight
Mackens Semerzier,Featherweight
Oli Thompson,Heavyweight
Frankie Edgar,Lightweight
Norifumi Yamamoto,Bantamweight
Tiequan Zhang,Featherweight
Aaron Simpson,Middleweight
Anton Kuivanen,Lightweight
Nick Diaz,Welterweight
Dan Stittgen,Welterweight
Chael Sonnen,Middleweight
Demian Maia,Middleweight
Joey Beltran,Heavyweight
Duane Ludwig,Welterweight
Mike Easton,Bantamweight
Jorge Rivera,Middleweight
Kamal Shalorus,Lightweight
Charlie Brenneman,Welterweight
Joseph Sandoval,Bantamweight
Ricardo Funch,Welterweight
Vladimir Matyushenko,Light Heavyweight
Nam Phan,Featherweight
Tito Ortiz,Light Heavyweight
Claude Patrick,Welterweight
Krzysztof Soszynski,Light Heavyweight
Walel Watson,Bantamweight
Rich Attonito,Welterweight
Louis Gaudinot,Bantamweight
Bryan Caraway,Featherweight
Wanderlei Silva,Middleweight
Stephan Bonnar,Light Heavyweight
Tom Lawlor,Middleweight
Aaron Rosa,Light Heavyweight
John Maguire,Welterweight
Rob Broughton,Heavyweight
Michihiro Omigawa,Featherweight
Chris Cope,Welterweight
Chris Cariaso,Bantamweight
Mirko Cro Cop,Heavyweight
Dennis Siver,Lightweight
Tyson Griffin,Featherweight
Brandon Vera,Light Heavyweight
Dustin Jacoby,Middleweight
Steve Cantwell,Middleweight
Anthony Johnson,Welterweight
Shane Roller,Lightweight
Matt Hughes,Welterweight
Junior Assuncao,Featherweight
Alan Belcher,Middleweight
Clay Harvison,Welterweight
Luiz Cane,Light Heavyweight
Joseph Benavidez,Bantamweight
Ronny Markes,Light Heavyweight
Cole Miller,Lightweight
Dennis Hallman,Welterweight
Jeff Hougland,Bantamweight
Christian Morecraft,Heavyweight
Joe Stevenson,Featherweight
Daniel Roberts,Welterweight
Shane Carwin,Heavyweight
Kenny Florian,Featherweight
Dave Herman,Heavyweight
Vagner Rocha,Lightweight
Jesse Bongfeldt,Middleweight
Mike Massenzio,Light Heavyweight
Ramsey Nijem,Welterweight
Chuck O'Neil,Welterweight
Danny Downes,Lightweight
Ryan McGillivray,Welterweight
Kendall Grove,Middleweight
Cole Escovedo,Bantamweight
Yves Jabouin,Featherweight
Jon Madsen,Heavyweight
Sean McCorkle,Heavyweight
Mario Miranda,Middleweight
Waylon Lowe,Lightweight
Ricardo Almeida,Welterweight
Kurt Pellegrino,Lightweight
Costas Philippou,Catch Weight
Steve Cantwell,Light Heavyweight
Joe Stevenson,Lightweight
Rob Kimmons,Middleweight
Tom Blackledge,Light Heavyweight
Maciej Jewtuszko,Lightweight
Paul Taylor,Lightweight
Jeremy Stephens,Lightweight
Phil Baroni,Middleweight
Joe Doerksen,Middleweight
TJ Grant,Welterweight
Pat Audinwood,Lightweight
Jonathan Brookins,Lightweight
Ian Loveland,Featherweight
Sako Chivitchian,Lightweight
Fredson Paixao,Featherweight
Rich Attonito,Middleweight
Gerald Harris,Middleweight
Karo Parisyan,Welterweight
Mike Lullo,Lightweight
Paul Kelly,Lightweight
Tyson Griffin,Lightweight
Seth Petruzelli,Light Heavyweight
Kris McCray,Welterweight
Mike Guymon,Welterweight
James Wilks,Welterweight
Spencer Fisher,Lightweight
James McSweeney,Light Heavyweight
Matt Serra,Welterweight
Sean Sherk,Lightweight
Steve Lopez,Lightweight
Jared Hamman,Light Heavyweight
Tomasz Drwal,Middleweight
Brian Foster,Welterweight
Randy Couture,Heavyweight
Kenny Florian,Lightweight
Andre Winner,Lightweight
Nick Osipczak,Welterweight
Dustin Hazelett,Welterweight
Rodney Wallace,Light Heavyweight
Todd Brown,Light Heavyweight
James Irvin,Light Heavyweight
Darren Elkins,Lightweight
Chris Lytle,Welterweight
Forrest Petz,Welterweight
Keith Jardine,Light Heavyweight
Jamie Yager,Middleweight
John Gunderson,Lightweight
Josh Bryant,Middleweight
James McSweeney,Heavyweight
Chuck Liddell,Light Heavyweight
David Loiseau,Middleweight
Jason Brilz,Light Heavyweight
Jesse Forbes,Middleweight
Kevin Ferguson,Heavyweight
Marcus Davis,Welterweight
Yoshiyuki Yoshida,Welterweight
Nate Quarry,Middleweight
Rob Emerson,Lightweight
Caol Uno,Lightweight
Eliot Marshall,Light Heavyweight
Duane Ludwig,Lightweight
Eric Schafer,Light Heavyweight
Randy Couture,Light Heavyweight
Chris Tuchscherer,Heavyweight
Paul Daley,Welterweight
Martin Kampmann,Welterweight
Alan Belcher,Catch Weight
Kevin Ferguson,Catch Weight
Brian Stann,Light Heavyweight
Vitor Belfort,Catch Weight
Ryan Jensen,Middleweight
Jake Rosholt,Middleweight
Ricardo Almeida,Middleweight
Jesse Lennox,Welterweight
Yoshihiro Akiyama,Middleweight
Mark Coleman,Light Heavyweight
Shannon Gugerty,Lightweight
Brad Blackburn,Welterweight
Tomasz Drwal,Light Heavyweight
Jason Dent,Lightweight
Rich Franklin,Catch Weight
Paul Taylor,Middleweight
Drew McFedries,Middleweight
Brock Larson,Welterweight
Tim Hague,Heavyweight
Kyle Bradley,Lightweight
George Roop,Lightweight
Denis Kang,Middleweight
Tim Credeur,Middleweight
Tamdan McCrory,Welterweight
Shane Nelson,Lightweight
Mike Ciesnolevicz,Heavyweight
Paul Kelly,Welterweight
Josh Neer,Lightweight
Matt Veach,Lightweight
Jake O'Brien,Light Heavyweight
Dan Cramer,Welterweight
Dan Henderson,Light Heavyweight
Antoni Hardonk,Heavyweight
Wilson Gouveia,Middleweight
Junie Browning,Lightweight
Tom Lawlor,Light Heavyweight
Rolando Delgado,Lightweight
Luigi Fioravanti,Welterweight
Steve Bruno,Welterweight
Dale Hartt,Lightweight
Justin McCully,Heavyweight
Hermes Franca,Lightweight
Pete Sell,Welterweight
David Bielkheden,Lightweight
Per Eklund,Lightweight
Rich Franklin,Light Heavyweight
Ryo Chonan,Welterweight
Chris Wilson,Welterweight
Kevin Burns,Welterweight
Rory Markham,Welterweight
Nate Loughran,Middleweight
Justin Buchholz,Lightweight
Amir Sadollah,Middleweight
Matthew Riddle,Middleweight
Dean Lister,Middleweight
Martin Kampmann,Middleweight
Paul Taylor,Welterweight
Goran Reljic,Light Heavyweight
Rameau Thierry Sokoudjou,Light Heavyweight
Rich Clementi,Lightweight
Jason Day,Middleweight
Jonathan Goulet,Welterweight
Marcus Aurelio,Lightweight
Manvel Gamburyan,Lightweight
George Sotiropoulos,Welterweight
Heath Herring,Heavyweight
Jorge Gurgel,Lightweight
Marvin Eastman,Middleweight
Corey Hill,Lightweight
Wilson Gouveia,Light Heavyweight
Alessio Sakara,Light Heavyweight
Eddie Sanchez,Heavyweight
Roger Huerta,Lightweight
Mac Danzig,Welterweight
Jon Koppenhaver,Welterweight
Troy Mandaloniz,Welterweight
Matt Arroyo,Welterweight
Roman Mitichyan,Welterweight
Akihiro Gono,Welterweight
Tim Sylvia,Heavyweight
Alvin Robinson,Lightweight
Matt Grice,Lightweight
Rich Clementi,Welterweight
Christian Wellisch,Heavyweight
Luke Cummo,Welterweight
Michael Bisping,Light Heavyweight
Houston Alexander,Light Heavyweight
Jess Liaudin,Welterweight
Renato Sobral,Light Heavyweight
Leonard Garcia,Lightweight
Nate Mohr,Lightweight
Terry Martin,Middleweight
Kalib Starnes,Middleweight
Alan Belcher,Light Heavyweight
Din Thomas,Lightweight
Junior Assuncao,Lightweight
Drew Fickett,Welterweight
Kuniyoshi Hironaka,Welterweight
Jason Lambert,Light Heavyweight
Dustin Hazelett,Lightweight
Jake O'Brien,Heavyweight
David Heath,Light Heavyweight
Logan Clark,Middleweight
Drew McFedries,Light Heavyweight
Brandon Vera,Heavyweight
Travis Lutter,Middleweight
Pete Spratt,Welterweight
Scott Smith,Middleweight
Charles McCarthy,Middleweight
Carmelo Marrero,Heavyweight
Tony DeSouza,Welterweight
Rory Singer,Middleweight
Mike Swick,Middleweight
Anthony Torres,Welterweight
Hermes Franca,Catch Weight
Jeff Monson,Heavyweight
Mark Hominick,Lightweight
Rob MacDonald,Light Heavyweight
Jorge Santiago,Middleweight
Luigi Fioravanti,Middleweight
Mike Nickels,Light Heavyweight
Matt Hughes,Catch Weight
Dean Lister,Light Heavyweight
Jeremy Horn,Middleweight
Sean Sherk,Welterweight
Evan Tanner,Middleweight
David Terrell,Middleweight
Dan Christison,Heavyweight
Tom Murphy,Heavyweight
Marcio Cruz,Heavyweight
Paul Buentello,Heavyweight
Spencer Fisher,Welterweight
Jason Von Flue,Welterweight
Sam Hoger,Light Heavyweight
Nick Thompson,Welterweight
Rashad Evans,Heavyweight
Joe Stevenson,Welterweight
Kenny Florian,Welterweight
Melvin Guillard,Welterweight
Keith Jardine,Heavyweight
Branden Lee Hinkle,Heavyweight
Jon Fitch,Middleweight
Matt Lindland,Middleweight
Trevor Prangley,Middleweight
Ivan Salaverry,Middleweight
Mike van Arsdale,Heavyweight
Diego Sanchez,Middleweight
Josh Koscheck,Middleweight
Alex Karalexis,Welterweight
Pete Sell,Middleweight
Mike Kyle,Heavyweight
Frank Trigg,Welterweight
Travis Lutter,Light Heavyweight
Justin Eilers,Heavyweight
Ken Shamrock,Heavyweight
Matt Serra,Lightweight
Jonathan Wiezorek,Heavyweight
Genki Sudo,Lightweight
Renato Verissimo,Welterweight
Lee Murray,Middleweight
Wesley Correira,Heavyweight
Pedro Rizzo,Heavyweight
Keith Rockel,Middleweight
Kimo Leopoldo,Heavyweight
Vernon White,Heavyweight
Falaniko Vitale,Middleweight
Dave Strasser,Welterweight
Vladimir Matyushenko,Heavyweight
Gan McGee,Heavyweight
Carlos Newton,Welterweight
Phillip Miller,Middleweight
Ricco Rodriguez,Heavyweight
Ian Freeman,Heavyweight
Mark Weir,Middleweight
Phillip Miller,Light Heavyweight
Evan Tanner,Light Heavyweight
Benji Radach,Welterweight
Tony Fryklund,Middleweight
Murilo Bustamante,Middleweight
Jens Pulver,Lightweight
Andrei Semenov,Middleweight
Kevin Randleman,Light Heavyweight
Gil Castillo,Welterweight
Eugene Jackson,Middleweight
Dave Menne,Middleweight
Jutaro Nakao,Welterweight
Pat Miletich,Welterweight
Tony DeSouza,Lightweight
Shonie Carter,Welterweight
Semmy Schilt,Heavyweight
Matt Lindland,Light Heavyweight
Fabiano Iha,Welterweight
Elvis Sinosic,Middleweight
Bobby Hoffman,Heavyweight
Chuck Liddell,Middleweight
Renato Sobral,Heavyweight
Mark Hughes,Middleweight
Ben Earwood,Welterweight
Maurice Smith,Heavyweight
Yuki Kondo,Middleweight
Brad Gumm,Welterweight
Kevin Randleman,Heavyweight
Tyrone Roberts,Middleweight
Amaury Bitetti,Middleweight
Sanae Kikuta,Middleweight
Ron Waterman,Heavyweight
Ikuhisa Minowa,Middleweight
Laverne Clark,Lightweight
Tedd Williams,Heavyweight
Lance Gibson,Middleweight
Dave Menne,Lightweight
Bob Cook,Lightweight
Scott Adams,Heavyweight
Shonie Carter,Lightweight
Kenichi Yamamoto,Heavyweight
Joe Slick,Middleweight
Kenichi Yamamoto,Open Weight
Katsuhisa Fujii,Open Weight
Frank Shamrock,Light Heavyweight
Tim Lajcik,Heavyweight
Jeremy Horn,Heavyweight
Brad Kohler,Heavyweight
Matt Hughes,Lightweight
John Lewis,Middleweight
Paul Jones,Middleweight
Tsuyoshi Kohsaka,Heavyweight
Andre Roberts,Heavyweight
Bas Rutten,Heavyweight
Pete Williams,Heavyweight
Marcelo Mello,Lightweight
Tito Ortiz,Middleweight
Gary Goodridge,Heavyweight
Sione Latu,Heavyweight
Mikey Burnett,Lightweight
Ebenezer Fontes Braga,Middleweight
David Abbott,Heavyweight
Carlos Newton,Middleweight
Pat Miletich,Lightweight
Jerry Bohlander,Middleweight
Kazushi Sakuraba,Heavyweight
Vitor Belfort,Heavyweight
Tra Telligman,Heavyweight
Mark Kerr,Heavyweight
Dave Beneteau,Heavyweight
Dwayne Cason,Heavyweight
Alex Hunter,Heavyweight
Kevin Jackson,Middleweight
Dan Bobish,Heavyweight
Kevin Jackson,Lightweight
Joe Moreira,Lightweight
Tony Fryklund,Lightweight
Guy Mezger,Lightweight
Steven Graham,Heavyweight
Enson Inoue,Lightweight
Jack Nilson,Lightweight
Tito Ortiz,Lightweight
Mark Coleman,Heavyweight
Jerry Bohlander,Lightweight
Scott Ferrozzo,Heavyweight
Yoshiki Takahashi,Lightweight
Don Frye,Catch Weight
David Abbott,Open Weight
Don Frye,Open Weight
Ken Shamrock,Open Weight
Kimo Leopoldo,Open Weight
Scott Ferrozzo,Open Weight
Mark Coleman,Open Weight
Jerry Bohlander,Open Weight
Brian Johnston,Open Weight
Mark Coleman,Catch Weight
Gary Goodridge,Open Weight
Geza Kalman,Open Weight
Dan Severn,Catch Weight
Mark Hall,Open Weight
Mark Schultz,Open Weight
Rafael Carino,Open Weight
Cal Worsham,Open Weight
Steve Nelmark,Open Weight
Ken Shamrock,Catch Weight
Paul Varelans,Open Weight
Oleg Taktarov,Open Weight
Dan Severn,Open Weight
Marco Ruas,Open Weight
Marco Ruas,Catch Weight
Remco Pardoel,Open Weight
Scott Bessac,Open Weight
Oleg Taktarov,Catch Weight
Patrick Smith,Open Weight
Dave Beneteau,Open Weight
Todd Medina,Open Weight
Jon Hess,Open Weight
Royce Gracie,Catch Weight
Royce Gracie,Open Weight
Steve Jennum,Open Weight
Keith Hackney,Open Weight
Guy Mezger,Open Weight
Steve Jennum,Catch Weight
Harold Howard,Open Weight
Johnny Rhodes,Open Weight
Jason DeLucia,Open Weight
Orlando Wiet,Open Weight
Frank Hamaker,Open Weight
Scott Morris,Open Weight
Gerard Gordeau,Open Weight
Kevin Rosier,Open Weight
Felicia Spencer,Women's Featherweight
Arman Tsarukyan,Lightweight
Viviane Araujo,Women's Flyweight
Yoshinori Horie,Featherweight
SeungWoo Choi,Featherweight
Sarah Frota,Women's Flyweight
Juan Adams,Heavyweight
Klidson Abreu,Light Heavyweight
Jennifer Maia,Women's Flyweight
Gabriel Silva,Bantamweight
Jinsoo Son,Bantamweight
Felipe Colares,Bantamweight
Wellington Turman,Middleweight
John Allan,Light Heavyweight
Sheymon Moraes,Featherweight
Nicco Montano,Women's Bantamweight
Ryan Hall,Featherweight
Jonathan Martinez,Bantamweight
Brianna Van Buren,Women's Strawweight
Vince Morales,Bantamweight
Ben Askren,Welterweight
Luke Rockhold,Light Heavyweight
Michael Chiesa,Welterweight
Nohelin Hernandez,Bantamweight
Chance Rencountre,Welterweight
Pannie Kianzad,Women's Bantamweight
Journey Newson,Bantamweight
Vinicius Moreira,Light Heavyweight
Dan Moret,Lightweight
Dequan Townsend,Light Heavyweight
Amanda Ribas,Women's Strawweight
Anderson Dos Santos,Bantamweight
Kevin Aguilar,Featherweight
Jairzinho Rozenstruik,Heavyweight
Jessica Eye,Women's Flyweight
Nina Ansaroff,Women's Strawweight
Grigorii Popov,Bantamweight
Anthony Smith,Light Heavyweight
Aleksandar Rakic,Light Heavyweight
Chris Fishgold,Featherweight
Christos Giagos,Lightweight
Sung Bin Jo,Featherweight
Sergey Khandozhko,Welterweight
Frank Camacho,Lightweight
Duda Santana,Women's Bantamweight
Danilo Belluardo,Lightweight
Kevin Lee,Welterweight
Ian Heinisch,Middleweight
Derrick Krantz,Welterweight
Austin Hubbard,Lightweight
Sijara Eubanks,Women's Bantamweight
Charles Jourdain,Lightweight
Michel Pereira,Welterweight
Trevin Giles,Middleweight
Ryan Spann,Light Heavyweight
Kurt Holobaugh,Lightweight
Priscila Cachoeira,Women's Flyweight
Carlos Huachin,Bantamweight
Viviane Araujo,Women's Bantamweight
Serghei Spivac,Heavyweight
Kyle Prepolec,Welterweight
Cole Smith,Bantamweight
Thomas Gifford,Lightweight
Takashi Sato,Welterweight
Virna Jandiroba,Women's Strawweight
Mike Davis,Lightweight
Jodie Esquibel,Women's Strawweight
Antonina Shevchenko,Women's Flyweight
Alen Amedovski,Middleweight
Seungwoo Choi,Featherweight
Alex Da Silva,Lightweight
Michal Oleksiejczuk,Light Heavyweight
Rafael Fiziev,Lightweight
Zelim Imadaev,Welterweight
Khalid Taha,Bantamweight
Poliana Botelho,Women's Flyweight
Randy Costa,Bantamweight
Casey Kenney,Bantamweight
Maryna Moroz,Women's Flyweight
Anthony Pettis,Welterweight
Jesus Pinedo,Lightweight
JJ Aldrich,Women's Flyweight
Bobby Moffett,Featherweight
Chris Gutierrez,Bantamweight
Jordan Espinosa,Flyweight
Dominick Reyes,Light Heavyweight
Jordan Rinaldi,Featherweight
Saparbeg Safarov,Light Heavyweight
Omari Akhmedov,Middleweight
Yana Kunitskaya,Women's Bantamweight
Jeff Hughes,Heavyweight
Matt Schnell,Bantamweight
Hannah Cifers,Women's Strawweight
Lucie Pudilova,Women's Flyweight
Carlo Pedersoli,Welterweight
Kron Gracie,Featherweight
Manny Bermudez,Bantamweight
Marcos Mariano,Lightweight
Nadia Kassem,Women's Flyweight
Raulian Paiva,Flyweight
Sarah Frota,Women's Strawweight
Anthony Hernandez,Middleweight
Taila Santos,Women's Flyweight
Felipe Colares,Featherweight
Said Nurmagomedov,Bantamweight
Rogerio Bontorin,Flyweight
TJ Dillashaw,Flyweight
Rachael Ostovich,Women's Flyweight
Karl Roberson,Light Heavyweight
Amanda Nunes,Women's Featherweight
Ryan Hall,Lightweight
Drakkar Klose,Lightweight
Jordan Griffin,Featherweight
Joanna Jedrzejczyk,Women's Flyweight
Kyle Nelson,Lightweight
Justin Frazier,Heavyweight
Macy Chiasson,Women's Featherweight
Michel Batista,Heavyweight
Leah Letson,Women's Featherweight
Darrell Horcher,Lightweight
Ricky Rainey,Welterweight
David Zawada,Welterweight
Rashad Coulter,Light Heavyweight
Martin Day,Bantamweight
Bartosz Fabinski,Welterweight
Hector Aldana,Welterweight
Anderson Dos Santos,Featherweight
Joby Sanchez,Bantamweight
Don Madge,Lightweight
Jessin Ayari,Lightweight
Conor McGregor,Lightweight
Jalin Turner,Welterweight
Luigi Vendramini,Welterweight
Jin Soo Son,Bantamweight
Marcin Prachnio,Light Heavyweight
Jordan Johnson,Middleweight
Stefan Sekulic,Welterweight
Terrion Ware,Bantamweight
Brandon Davis,Featherweight
Frank Camacho,Welterweight
Craig White,Welterweight
Lucie Pudilova,Women's Bantamweight
Tim Williams,Middleweight
Jose Torres,Flyweight
Matheus Nicolau,Flyweight
Abu Azaitar,Middleweight
Said Nurmagomedov,Flyweight
